Fri Mar  1 19:05:13 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:07:16 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:07:16 2024, Build transit paths, Build transit paths Loop - OP - Walk - ComRail -35 of 40
Fri Mar  1 19:07:16 2024, Build transit paths, Build tranist network
Fri Mar  1 19:07:45 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:07:49 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:08:09 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:08:09 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:08:11 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:10:14 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:10:14 2024, Build transit paths, Build transit paths Loop - OP - Drive - Local -36 of 40
Fri Mar  1 19:10:14 2024, Build transit paths, Build tranist network
Fri Mar  1 19:10:42 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:10:55 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:11:33 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:11:34 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:11:36 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:12:54 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:12:55 2024, Build transit paths, Build transit paths Loop - OP - Drive - Brt -37 of 40
Fri Mar  1 19:12:55 2024, Build transit paths, Build tranist network
Fri Mar  1 19:13:23 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:13:36 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:14:02 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:14:03 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:14:04 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:15:01 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:15:02 2024, Build transit paths, Build transit paths Loop - OP - Drive - ExpBus -38 of 40
Fri Mar  1 19:15:02 2024, Build transit paths, Build tranist network
Fri Mar  1 19:15:19 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:15:25 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:15:51 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:15:51 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:15:52 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:16:57 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:16:57 2024, Build transit paths, Build transit paths Loop - OP - Drive - UrbRail -39 of 40
Fri Mar  1 19:16:57 2024, Build transit paths, Build tranist network
Fri Mar  1 19:17:20 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:17:27 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:17:56 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:17:57 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:17:58 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:19:06 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:19:06 2024, Build transit paths, Build transit paths Loop - OP - Drive - ComRail -40 of 40
Fri Mar  1 19:19:06 2024, Build transit paths, Build tranist network
Fri Mar  1 19:19:29 2024, Build transit paths, Tranist network settings
Fri Mar  1 19:19:36 2024, Build transit paths, Transit assignment PF
Fri Mar  1 19:20:06 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 19:20:06 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 19:20:08 2024, Build transit paths, Transit skim PF
Fri Mar  1 19:21:16 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 19:21:17 2024, Process transit skims
Fri Mar  1 19:44:09 2024, Create percent walk for TCMS
Fri Mar  1 19:47:41 2024, 4 InternalTruckModel.rsc, Run Internal Truck and Commercial Vehicle Model
Fri Mar  1 19:47:41 2024, Aggregate LandUse
Fri Mar  1 19:48:00 2024, Calculate Accessibilities
Fri Mar  1 19:48:10 2024, Run Truck Model
Fri Mar  1 19:48:37 2024, Run Commercial Vehicle Model
Fri Mar  1 19:48:47 2024, Run Trip Length Summaries
Fri Mar  1 19:49:00 2024, Close All Views
Fri Mar  1 19:49:00 2024, 5 VisitorModel.rsc, Run Visitor Model
Fri Mar  1 19:49:00 2024, Prepare input data
Fri Mar  1 19:49:40 2024, Visitor Trip Gen
Fri Mar  1 19:49:45 2024, Visitor Trip Distribution
Fri Mar  1 19:50:00 2024, Visitor Trip Mode Choice
Fri Mar  1 19:50:02 2024, Visitor Trip Time of Day
Fri Mar  1 19:50:06 2024, 7.1 RunDaySim.rsc,   ****** Run DaySim ****** 
Fri Mar  1 19:50:06 2024, Set transit paramters
Fri Mar  1 19:55:37 2024, Runing OMX Re Export in feedback loop 1
