hhno pno day beghom endhom hbtours wbtours uwtours wktours sctours estours pbtours shtours mltours sotours retours metours wkstops scstops esstops pbstops shstops mlstops sostops restops mestops wkathome pdexpfac
4003676 2 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 53.00277
4003676 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 53.00277
4003715 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 95.072171
4003759 1 1 1 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 52.881307
4003794 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 31.477572
4003794 2 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 31.477572
4003807 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 157.009368
4003810 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 364.325487
4003810 2 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 -1 364.325487
4003810 3 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 364.325487
4003810 4 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 364.325487
4003818 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 -1 55.949159
